brand,official_name,kcal,servings,first_seen,last_seen
7-11,統一麵包濃醇巧克力派司,396,,2026-09-26,2026-09-26
7-11,統一麵包糖蜜香紅豆麵包,303,,2026-09-26,2026-09-26
7-11,統一麵包菱格香菠蘿,413,,2026-09-26,2026-09-26
7-11,統一麵包鹽奶油厚菠蘿,477,,2026-09-26,2026-09-26
7-11,統一麵包鹽奶油捲,277,,2026-09-26,2026-09-26
7-11,綠竹筍,8,,2026-09-26,2026-09-26
7-11,線條小狗布丁大福,108,,2026-09-26,2026-09-26
7-11,線條小狗草莓優格愛心馬卡龍,129,,2026-09-26,2026-09-26
7-11,繽紛鮮蔬烤雞便當,353,,2026-09-26,2026-09-26
7-11,美式原味熱狗,204,,2026-09-26,2026-09-26
7-11,義式蕃茄肉醬義大利麵,609,,2026-09-26,2026-09-26
7-11,義美牛奶霜淇淋,248,,2026-09-26,2026-09-26
7-11,翠玉娃娃菜,6,,2026-09-26,2026-09-26
7-11,肉絲黃金蛋炒飯,616,,2026-09-26,2026-09-26
7-11,肉鬆海苔新極大壽司,440,,2026-09-26,2026-09-26
7-11,肉鬆火腿蛋三明治,269,,2026-09-26,2026-09-26
7-11,肉鬆玉子新極大飯糰,311,,2026-09-26,2026-09-26
7-11,胡椒餅風味,230,,2026-09-26,2026-09-26
